Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,overlap_num,overlap_den,overlap_frac
Molluscum contagiosum virus subtype 1 MC080R (gene: MC080R),15/434,2.27049415638393e-07,0.0015246368260118,5.15853910172639,78.915837504913,RPL4;HSPA8;HSP90AB1;RPS8;ACTB;ACTG1;RPS4X;UBC;ALB;RACK1;MYH9;PABPC1;RPS2;B2M;RPL19,15.0,434.0,0.03456221198156682
Human coronavirus 229E full_polyprotein 1..4085,8/107,6.14622715170857e-07,0.0020635957661861,11.15915748361,159.601140785686,HSPA8;HSP90AB1;UBB;UBC;MYH9;FAU;RPS27A;B2M,8.0,107.0,0.07476635514018691
SARS coronavirus excised_polyprotein 1..4369 (gene: orf1ab),10/194,7.52260196771303e-07,0.0016838090737731,7.69349130635482,108.479639686861,HSPA8;HSP90AB1;UBB;UBC;MYH9;RPL13;PABPC1;FAU;RPS27A;B2M,10.0,194.0,0.05154639175257732
Human coronavirus 229E full_polyprotein 1..6758,8/112,8.71845408302997e-07,0.0014636104791886,10.6609808102345,148.748973484118,HSPA8;HSP90AB1;UBB;UBC;MYH9;FAU;RPS27A;B2M,8.0,112.0,0.07142857142857142
Monkeypox virus cowpox A-type inclusion protein,12/301,8.90904980867222e-07,0.0011964853893046,5.95031487082858,82.8940034218816,FGB;HSPA8;FGA;FTH1;UBC;ALB;FGG;RPS3;APOA1;RPL13;RPL23A;RPS27A,12.0,301.0,0.03986710963455149
SARS coronavirus P2 full_polyprotein 1..4382,10/198,9.06345769007918e-07,0.001014351973148,7.53806723955978,104.883498870904,HSPA8;HSP90AB1;UBB;UBC;MYH9;RPL13;PABPC1;FAU;RPS27A;B2M,10.0,198.0,0.050505050505050504
Omsk hemorrhagic fever virus full_polyprotein 1..3414,7/85,1.6544270405963e-06,0.001587068225372,12.2914837576822,163.62491774676,HSPA8;HSP90AB1;AMBP;UBC;RPL13;RPS2;B2M,7.0,85.0,0.08235294117647059
Human coronavirus NL63 full_polyprotein 1..6729,8/138,4.20577040122326e-06,0.0035302185305267,8.65239022279905,107.108397755274,HSPA8;HSP90AB1;UBB;UBC;MYH9;FAU;RPS27A;B2M,8.0,138.0,0.057971014492753624
Human group 1 coronavirus associated with pneumonia ORF 1ab,7/103,6.00989811066914e-06,0.0044840517570159,10.1434574699319,121.945688074226,HSPA8;HSP90AB1;UBB;UBC;MYH9;RPS27A;B2M,7.0,103.0,0.06796116504854369
Human group 1 coronavirus associated with pneumonia ORF 1a,7/106,7.27003578978734e-06,0.0048818290328422,9.85637848493382,116.618199668296,HSPA8;HSP90AB1;UBB;UBC;MYH9;RPS27A;B2M,7.0,106.0,0.0660377358490566
Dengue virus 1 membrane glycoprotein M (gene: flavivirus polyprotein),2020-04-21 00:00:00,1.05536746077926e-05,0.0064425386355751,28.4292821606254,325.772180657564,HSPA8;UBC;B2M;ACTB,,,
Yaba-like disease virus 34L protein (gene: 34L),6/76,1.20307546746032e-05,0.00673220980333,11.783189316575,133.480490540772,HSPA8;HSP90AB1;RPS18;RPS5;UBC;RPS3,6.0,76.0,0.07894736842105263
Human betacoronavirus 2c Jordan-N3/2012 ORF1ab protein (gene: ORF1ab),6/80,1.61787412667995e-05,0.0083569421235814,11.1940298507463,123.49043781699,FGB;HSPA8;UBB;UBC;MYH9;B2M,6.0,80.0,0.075
Betacoronavirus England 1 ORF1b protein (gene: orf1ab),6/81,1.73777152827197e-05,0.0083350970088187,11.0558319513543,121.175477097387,FGB;HSPA8;UBB;UBC;MYH9;B2M,6.0,81.0,0.07407407407407407
Japanese encephalitis virus hypothetical protein,6/82,1.86473584884987e-05,0.0083478008166845,10.9210047324354,118.927623493752,HSPA8;HSP90AB1;AMBP;UBC;PABPC1;B2M,6.0,82.0,0.07317073170731707
Human betacoronavirus 2c England-Qatar/2012 ORF1ab,6/82,1.86473584884987e-05,0.0078260632656418,10.9210047324354,118.927623493752,FGB;HSPA8;UBB;UBC;MYH9;B2M,6.0,82.0,0.07317073170731707
Karshi virus (Royal Farm virus) full_polyprotein 1..3416,6/85,2.29116042863955e-05,0.0090500836931262,10.5355575065847,112.560495575293,HSPA8;HSP90AB1;AMBP;UBC;RPL13;B2M,6.0,85.0,0.07058823529411765
West Nile virus lineage 2 excised_polyprotein 1..2273 (gene: flavivirus polyprotein),7/127,2.37277255291527e-05,0.0088517598293478,8.22658361734634,87.6037893761022,HSPA8;HSP90AB1;AMBP;UBC;RPL13;B2M;ACTB,7.0,127.0,0.05511811023622047
Dengue virus 3 membrane glycoprotein M (gene: flavivirus polyprotein),2020-04-27 00:00:00,2.99972033651091e-05,0.0106016431893004,22.1116639027087,230.279854103052,HSPA8;UBC;B2M;ACTB,,,
Human betacoronavirus 2c Jordan-N3/2012 ORF1a protein (gene: ORF1ab),6/91,3.37923521371972e-05,0.011345782230064,9.84090536329342,101.314837289238,FGB;HSPA8;UBB;UBC;MYH9;B2M,6.0,91.0,0.06593406593406594
Human betacoronavirus 2c EMC/2012 ORF1a (gene: orf1ab),6/92,3.59529154329546e-05,0.0114963727205853,9.73393900064893,99.6103216762047,FGB;HSPA8;UBB;UBC;MYH9;B2M,6.0,92.0,0.06521739130434782
